DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,SARE BIDJI,BOGUEL,01,522,CLASSE CE 1
KOLDA,SARE BIDJI,BOGUEL,02,101,CLASSE CI
KOLDA,SARE BIDJI,ECOLE NEMOURATOU,01,164,CLASSE CI
KOLDA,SARE BIDJI,ECOLE SARE GAGNA,01,571,CLASSE CM2
KOLDA,SARE BIDJI,ECOLE THIEWEL BESSEL,01,104,CLASSE CE2
KOLDA,SARE BIDJI,MEDINA ABDOULAYE,01,404,CLASSE CP
KOLDA,SARE BIDJI,MEDINA ABDOULAYE,02,404,SALLE DE CLASSE
KOLDA,SARE BIDJI,NEMOURATOU,01,337,ECOLE NEMOURATOU
KOLDA,SARE BIDJI,NIANDIAYE,01,193,CLASSE CP
KOLDA,SARE BIDJI,SARE BACARY BINTA,01,532,CLASSE CE 1
KOLDA,SARE BIDJI,SARE BIDJI,01,516,CLASSE CE 1
KOLDA,SARE BIDJI,SARE BIDJI,02,517,CLASSE CM 1
KOLDA,SARE BIDJI,SARE BILALY,01,437,CLASSE CE 2
KOLDA,SARE BIDJI,SARE KOLIDIANG,01,390,CLASSE CE 1
KOLDA,SARE BIDJI,SARE KOLIDIANG,02,389,CLASSE CM 1
KOLDA,SARE BIDJI,SARE MOUSSA SOW,01,522,CLASSE CP
KOLDA,SARE BIDJI,SINTHIANG DEMBA MBALLO,01,423,CLASSE CP
KOLDA,SARE BIDJI,SOUKOU,01,285,CLASSE CE 2
KOLDA,SARE BIDJI,THIEWEL BESSEL,01,150,ECOLE THIEWEL BESSEL
