DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,BIGNONA,BANDIONKOTO,1,567,CLASSE CM1 A
BIGNONA,BIGNONA,BANDIONKOTO,2,565,CLASSE CE2 A
BIGNONA,BIGNONA,BANDIONKOTO,3,568,CLASSE CM1 B
BIGNONA,BIGNONA,BANDIONKOTO,4,569,BAT5 SALLE CIB
BIGNONA,BIGNONA,BANDIONKOTO,5,567,BAT1 SALLE CPB
BIGNONA,BIGNONA,BANDIONKOTO,6,567,BATIMENT 4 SALLE CM2 A
BIGNONA,BIGNONA,BASSENE,1,422,CLASSE CM1 A
BIGNONA,BIGNONA,BASSENE,2,424,CLASSE CM2 A
BIGNONA,BIGNONA,BASSENE,3,422,CLASSE CM2 B
BIGNONA,BIGNONA,BASSENE,4,423,CLASSE CI A
BIGNONA,BIGNONA,BASSENE,5,421,CLASSE CP B
BIGNONA,BIGNONA,BASSENE,6,421,CLASSE CE2 A
BIGNONA,BIGNONA,BASSENE,7,422,CLASSE CE1 A
BIGNONA,BIGNONA,CHATEAU D'EAU,1,549,BATIMENT N SALLA NO
BIGNONA,BIGNONA,CHATEAU D'EAU,2,549,BATIMENT C SALLE C1
BIGNONA,BIGNONA,CHATEAU D'EAU,3,550,BATIMENT E SALLE 01
BIGNONA,BIGNONA,CHATEAU D'EAU,4,552,BATIMENT F SALLE 01
BIGNONA,BIGNONA,CHATEAU D'EAU,5,548,SALLE DE CLASSE
BIGNONA,BIGNONA,CHATEAU D'EAU,6,550,BATIMENT G SALLE 2
BIGNONA,BIGNONA,KADIAMORE,1,589,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,KADIAMORE,2,587,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,KADIAMORE,3,589,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,KADIAMORE,4,586,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,KADIAMORE,5,586,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,1,392,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,2,390,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,3,392,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,4,393,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,5,392,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,6,391,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,7,391,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,1,587,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,2,587,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,3,586,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,4,584,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,5,584,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,6,587,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,7,587,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,8,587,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,9,585,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,10,586,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,11,589,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,12,587,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,13,587,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,14,588,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,15,585,CEM ARFAND B. SONKO SALLE DE CLASSE
