DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,KAYEMOR,COULOUMBOUDOU,01,579,CASE DE SANTE
NIORO DU RIP,KAYEMOR,ECOLE ELEMENTAIRE DAROU KHOUDOSS,01,231,SALLE DE CLASSE
NIORO DU RIP,KAYEMOR,KAYEMOR,01,523,ECOLE CLASSE CP
NIORO DU RIP,KAYEMOR,KAYEMOR,02,523,ECOLE CLASSE CM1
NIORO DU RIP,KAYEMOR,KAYEMOR,03,523,ECOLE CLASSE CE1
NIORO DU RIP,KAYEMOR,KEUR AYIB TOURE,01,416,ECOLE CLASSE CE2
NIORO DU RIP,KAYEMOR,KEUR AYIB TOURE,02,346,CLASSE CP
NIORO DU RIP,KAYEMOR,KEUR BAKARI,01,492,ECOLE CLASSE SALLE 5
NIORO DU RIP,KAYEMOR,KEUR BAKARI,02,492,ECOLE CLASSE SALLE 3
NIORO DU RIP,KAYEMOR,KEUR SAMBA DIAMA,01,217,ABRI PROVISOIRE
NIORO DU RIP,KAYEMOR,KEUR SAMBA DIE,01,557,CASE DE SANTE
NIORO DU RIP,KAYEMOR,NDIARGUENE,01,350,ECOLE ARABE
NIORO DU RIP,KAYEMOR,NDIMB TABA,01,312,CASE DE SANTE
NIORO DU RIP,KAYEMOR,PADAF,01,573,ECOLE ARABE
NIORO DU RIP,KAYEMOR,SANTHIOU KOHEL,01,377,ECOLE CLASSE CM2
NIORO DU RIP,KAYEMOR,SONKORONG,01,485,ECOLE CLASSE CM1
NIORO DU RIP,KAYEMOR,SONKORONG,02,486,ECOLE CLASSE CP
NIORO DU RIP,KAYEMOR,SOTOKOYE,01,247,ABRI PROVISOIRE
NIORO DU RIP,KAYEMOR,TENE PEULH,01,494,ECOLE CLASSE CM1
NIORO DU RIP,KAYEMOR,THISSE KAYEMOR ECOLE,01,524,ECOLE CLASSE CP
NIORO DU RIP,KAYEMOR,THISSE KAYEMOR ECOLE,02,524,ECOLE CLASSE CM1
