DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,DIALAMBERE,BOUGNA MANGAL,01,268,CLASSE CI
KOLDA,DIALAMBERE,DIALAMBERE,01,489,CLASSE CE 2
KOLDA,DIALAMBERE,DIALAMBERE,02,489,CLASSE CM 1
KOLDA,DIALAMBERE,DIATTAMINE,01,172,CLASSE CM 1
KOLDA,DIALAMBERE,ECOLE COUMAMBOURE,01,571,SALLE DE CLASSE
KOLDA,DIALAMBERE,ECOLE KANDIATOR,01,158,SALLE DE CLASSE
KOLDA,DIALAMBERE,ECOLE NDAYBATOU MAMADOU LAMINE,01,191,SALLE DE CLASSE
KOLDA,DIALAMBERE,ECOLE NGOUDOUMANE BACARI,01,322,SALLE DE CLASSE
KOLDA,DIALAMBERE,FODE BAYO,01,268,CLASSE CM 1
KOLDA,DIALAMBERE,KODIENGUINA,01,256,CLASSE CE2
KOLDA,DIALAMBERE,NGOCKI,01,573,CLASSE CE 2
KOLDA,DIALAMBERE,TEMENTO ELI,01,155,ABRI PROVISOIRE
KOLDA,DIALAMBERE,THIARRA,01,400,CLASSE CE 2
KOLDA,DIALAMBERE,THIEWAL LAO,01,349,CLASSE CE 2
KOLDA,DIALAMBERE,VELINGARA YELLE,01,212,CLASSE CM 2
