DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,20,597,ECOLE NIANG SALLEDE CLASSE
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,21,595,ECOLE NIANG SALLE DE CLASSE
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,22,595,ECOLE NIANG SALLE DE CLASSE
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,23,596,ECOLE NIANG SALLE DE CLASSE
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,24,598,ECOLE NIANG SALLE DE CLASSE
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,14,587,CEM CAMBERENE 2
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,15,590,CEM CAMBERENE 2
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,16,590,CEM CAMBERENE 2
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,17,592,CEM CAMBERENE 2
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),25,600,CEM SEYDINA ISSA LAYE
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),26,600,CEM SEYDINA ISSA LAYE
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),27,134,CEM SEYDINA ISSA LAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),14,591,ECOLE MAGUETTE C SARR (TAIBA G D)
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),15,593,ECOLE MAGUETTE C SARR (TAIBA G D)
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),16,592,ECOLE MAGUETTE C SARR (TAIBA G D)
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),17,593,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),18,588,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),19,591,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),20,590,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),21,591,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),22,590,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),23,594,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),24,593,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),25,592,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),26,592,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),27,593,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),28,593,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),29,595,ECOLE PRIVEE LIMAMOULAYE 2NDE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),30,595,ECOLE PRIVEE LIMAMOULAYE 1ERE
DAKAR,GRAND YOFF,ECOLE MOR FALL (GRAND YOFF),13,600,ECOLE KALIDOU SY CM1 B
DAKAR,GUEULE TAPEE FASS CO,ECOLE OUMAR BEN KHATAB DIA (PR FASS,01,598,ECOLE COLOBANE 2 BV1
DAKAR,GUEULE TAPEE FASS CO,ECOLE OUMAR BEN KHATAB DIA (PR FASS,02,600,ECOLE COLOBANE 2 BV2
DAKAR,GUEULE TAPEE FASS CO,ECOLE OUMAR BEN KHATAB DIA (PR FASS,03,600,ECOLE COLOBANE 2 BV3
DAKAR,GUEULE TAPEE FASS CO,ECOLE OUMAR BEN KHATAB DIA (PR FASS,04,598,ECOLE COLOBANE 2 BV4
DAKAR,GUEULE TAPEE FASS CO,ECOLE OUMAR BEN KHATAB DIA (PR FASS,05,599,ECOLE COLOBANE 2 BV5
DAKAR,GUEULE TAPEE FASS CO,ECOLE OUMAR BEN KHATAB DIA (PR FASS,06,600,ECOLE COLOBANE 2 BV6
DAKAR,GUEULE TAPEE FASS CO,ECOLE OUMAR BEN KHATAB DIA (PR FASS,07,600,ECOLE COLOBANE 2 BV7
DAKAR,GUEULE TAPEE FASS CO,ECOLE OUMAR BEN KHATAB DIA (PR FASS,08,599,ECOLE COLOBANE 2 BV8
DAKAR,GUEULE TAPEE FASS CO,ECOLE OUMAR BEN KHATAB DIA (PR FASS,09,594,ECOLE COLOBANE 2 BV9
DAKAR,GUEULE TAPEE FASS CO,ECOLE OUMAR BEN KHATAB DIA (PR FASS,10,599,ECOLE COLOBANE 2 BV10
DAKAR,GUEULE TAPEE FASS CO,ECOLE OUMAR BEN KHATAB DIA (PR FASS,11,600,ECOLE COLOBANE 2 BV11
DAKAR,GUEULE TAPEE FASS CO,ECOLE OUMAR BEN KHATAB DIA (PR FASS,12,600,ECOLE COLOBANE 2 BV 12
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),13,216,ECOLE LION (CLASSE CM1 B)
DAKAR,HANN BEL AIR,CAMP ABDOU DIASSE,01,497,ECOLE ABDOU DIASSE BV1
DAKAR,HANN BEL AIR,CAMP ABDOU DIASSE,02,497,ECOLE ABDOU DIASSE BV2
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),13,600,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),14,603,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),15,600,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),16,595,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),17,228,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE MALICK SY,01,575,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MALICK SY,02,572,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MALICK SY,03,573,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MALICK SY,04,569,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MALICK SY,05,581,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MOUR DIOP,13,600,CASE TOUT-PETITS DABAKH MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,14,599,CASE TOUT-PETITS DABAKH MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,15,596,CASE TOUT-PETITS DABAKH MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,16,600,CASE TOUT-PETITS DABAKH MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,17,600,CASE TOUT-PETITS DABAKH MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,18,596,CEM MANSOUR SY MALICK BV 18
DAKAR,MEDINA,ECOLE MOUR DIOP,19,593,CEM MANSOUR SY MALICK BV 19
DAKAR,MEDINA,ECOLE MOUR DIOP,20,599,CEM MANSOUR SY MALICK BV 20
DAKAR,MEDINA,ECOLE MOUR DIOP,21,599,CEM MANSOUR SY MALICK BV 21
DAKAR,MEDINA,ECOLE MOUR DIOP,22,599,CEM MANSOUR SY MALICK BV 22
DAKAR,MEDINA,ECOLE MOUR DIOP,23,595,CEM MANSOUR SY MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,24,599,CEM MANSOUR SY MALICK
