DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,1,579,SALLE 1
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,2,577,SALLE 4
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,3,574,SALLE 6
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,4,576,SALLE 10
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,5,577,SALLE 14
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,6,577,SALLE 18
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,1,384,SALLE 1
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,2,383,SALLE 2
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,3,384,SALLE DE REUNION 1
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,4,383,SALLE DE REUNION 2
MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,1,396,CLASSE CIA
MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,2,395,CLASSE CM2
MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,3,395,SALLE DE LA BIBLIOTHEQUE
MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,4,395,CLASSE CE2A
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,1,347,CLASSE CIA
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,2,346,CLASSE CIB
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,3,347,CLASSE CPA
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,4,346,CLASSE CPB
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,5,345,CLASSE CE1A
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,6,347,CLASSE CE1B
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,1,529,LYCEE LEOPOLD S.SENGHOR SALLE 1
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,2,527,LYCEE LEOPOLD S.SENGHOR SALLE 2
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,3,528,LYCEE LEOPOLD S.SENGHOR SALLE 3
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,4,530,LYCEE LEOPOLD S.SENGHOR SALLE 4
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,5,527,LYCEE LEOPOLD S.SENGHOR SALLE 9
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,6,529,LYCEE LEOPOLD S.SENGHOR SALLE 10
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,7,530,LYCEE LEOPOLD S.SENGHOR SALLE 11
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,8,528,LYCEE LEOPOLD S.SENGHOR SALLE 12
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,9,528,LYCEE LEOPOLD S.SENGHOR SALLE 17
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,10,529,LYCEE LEOPOLD S.SENGHOR SALLE 18
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,11,528,LYCEE LEOPOLD S.SENGHOR SALLE 19
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,12,527,LYCEE LEOPOLD S.SENGHOR SALLE 20
