DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,BARGNY,CEM BARGNY,01,205,SALLE 9
RUFISQUE,BARGNY,CEM BARGNY,02,209,SALLE 10
RUFISQUE,BARGNY,CEM BARGNY,03,209,SALLE 11
RUFISQUE,BARGNY,CEM BARGNY,04,208,SALLE 12
RUFISQUE,BARGNY,CEM BARGNY,05,206,SALLE 13
RUFISQUE,BARGNY,CEM BARGNY,06,208,SALLE 14
RUFISQUE,BARGNY,CENTRE SOCIO-CULTUREL EH NDIOUGA DIENG,01,472,SALLE 1
RUFISQUE,BARGNY,CENTRE SOCIO-CULTUREL EH NDIOUGA DIENG,02,468,SALLE 2
RUFISQUE,BARGNY,CENTRE SOCIO-CULTUREL EH NDIOUGA DIENG,03,467,SALLE 3
RUFISQUE,BARGNY,ECOLE DAROU 2,01,500,CLASSE CI A
RUFISQUE,BARGNY,ECOLE DAROU 2,02,496,CLASSE CP A
RUFISQUE,BARGNY,ECOLE DAROU 2,03,501,CLASSE CP B
RUFISQUE,BARGNY,ECOLE DAROU 2,04,500,CLASSE CE2 A
RUFISQUE,BARGNY,ECOLE DAROU 2,05,498,CLASSE CM1
RUFISQUE,BARGNY,ECOLE DAROU 2,06,502,CLASSE CM2
RUFISQUE,BARGNY,ECOLE DES FILLES,01,550,CLASSE CI A
RUFISQUE,BARGNY,ECOLE DES FILLES,02,553,CLASSE CE1 A
RUFISQUE,BARGNY,ECOLE DES FILLES,03,550,CLASSE CE1 B
RUFISQUE,BARGNY,ECOLE DES FILLES,04,549,CLASSE CE2 A
RUFISQUE,BARGNY,ECOLE DES FILLES,05,549,CLASSE CE2 B
RUFISQUE,BARGNY,ECOLE DES FILLES,06,548,SALLE DE CLASSE N°6
RUFISQUE,BARGNY,ECOLE DES FILLES,07,552,SALLE DE CLASSE N°7
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE KIP CARRIERE,01,587,CLASSE CI
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE KIP CARRIERE,02,591,CLASSE CE1
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE KIP CARRIERE,03,580,CLASSE CM2
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE KIP CARRIERE,04,588,CLASSE CP
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE KIP CARRIERE,05,507,CLASSE CM1
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE NDIOLMANE,01,560,CLASSE CE1
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE NDIOLMANE,02,556,CLASSE CE2
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE NDIOLMANE,03,557,CLASSE CM2
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE NDIOLMANE,04,557,CLASSE CI
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE NDIOLMANE,05,560,CLASSE CP
RUFISQUE,BARGNY,ECOLE MERVI,01,489,CLASSE CM2 B
RUFISQUE,BARGNY,ECOLE MERVI,02,492,CLASSE CM1 B
RUFISQUE,BARGNY,ECOLE MERVI,03,491,CLASSE CE2 B
RUFISQUE,BARGNY,ECOLE MERVI,04,485,CLASSE CE1 B
RUFISQUE,BARGNY,Lieu de vote,Bureau,Electeurs,
RUFISQUE,BARGNY,ECOLE MERVI,05,492,CLASSE CP B
RUFISQUE,BARGNY,ECOLE MERVI,06,490,CLASSE CM2 A
RUFISQUE,BARGNY,ECOLE MERVI,07,486,CLASSE CM1 A
RUFISQUE,BARGNY,ECOLE MERVI,08,493,CLASSE CE2 A
RUFISQUE,BARGNY,ECOLE MERVI,09,486,CLASSE CE1 A
RUFISQUE,BARGNY,ECOLE MERVI,10,488,CLASSE CP A
RUFISQUE,BARGNY,ECOLE MERVI,11,490,CLASSE CI B
RUFISQUE,BARGNY,ECOLE MERVI,12,490,CLASSE  CI A
RUFISQUE,BARGNY,ECOLE MINAME,01,537,CLASSE CE1
RUFISQUE,BARGNY,ECOLE MIXTE BARGNY,01,513,CLASSE ISSA SECK
RUFISQUE,BARGNY,ECOLE MIXTE BARGNY,02,515,CLASSE ADAMA SECK
RUFISQUE,BARGNY,ECOLE MIXTE BARGNY,03,516,CLASSE BABACAR MANDAW DIOUF
RUFISQUE,BARGNY,ECOLE MIXTE BARGNY,04,517,CLASSE ALASSANE SECK
RUFISQUE,BARGNY,ECOLE MIXTE BARGNY,05,517,CLASSE MAMADOU GANA DIOP
RUFISQUE,BARGNY,ECOLE MIXTE BARGNY,06,516,CLASSE CE1 A
RUFISQUE,BARGNY,ECOLE MIXTE BARGNY,07,517,CLASSE CE1 B
RUFISQUE,BARGNY,ECOLE MIXTE BARGNY,08,515,CLASSE CP A
RUFISQUE,BARGNY,ECOLE MIXTE BARGNY,09,513,CLASSE CI A
RUFISQUE,BARGNY,ECOLE SECKA GUEYE,01,356,CLASSE CI B
RUFISQUE,BARGNY,ECOLE SECKA GUEYE,02,355,CLASSE CP A
RUFISQUE,BARGNY,ECOLE SECKA GUEYE,03,354,CLASSE CP B
RUFISQUE,BARGNY,ECOLE SECKA GUEYE,04,352,CLASSE CE1 B
RUFISQUE,BARGNY,ENSEIGNEMENT MOYEN PRATIQUE,01,404,SALLE 1
RUFISQUE,BARGNY,ENSEIGNEMENT MOYEN PRATIQUE,02,408,SALLE 2
RUFISQUE,BARGNY,ENSEIGNEMENT MOYEN PRATIQUE,03,403,SALLE 3
RUFISQUE,BARGNY,ENSEIGNEMENT MOYEN PRATIQUE,04,405,SALLE 4
RUFISQUE,BARGNY,ENSEIGNEMENT MOYEN PRATIQUE,05,404,SALLE 5
