DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,01,598,SALLE 1
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,02,598,SALLE 5
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,03,598,SALLE 6
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,04,598,SALLE 7
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,05,599,SALLE 4
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,06,599,SALLE 2
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,07,599,ABRI PROVISOIRE
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,08,598,ABRI PROVISOIRE
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,09,263,ABRI PROVISOIRE
RUFISQUE,RUFISQUE NORD,ECOLE BASSIROU FALL (CAMP X.LELONG),01,536,CLASSE CI B
RUFISQUE,RUFISQUE NORD,ECOLE BASSIROU FALL (CAMP X.LELONG),02,530,CLASSE CP B
RUFISQUE,RUFISQUE NORD,ECOLE BASSIROU FALL (CAMP X.LELONG),03,532,CLASSE CE2A
RUFISQUE,RUFISQUE NORD,ECOLE BASSIROU FALL (CAMP X.LELONG),04,534,CLASSE CI A
RUFISQUE,RUFISQUE NORD,ECOLE BASSIROU FALL (CAMP X.LELONG),05,535,CLASSE CP A
RUFISQUE,RUFISQUE NORD,ECOLE BASSIROU FALL (CAMP X.LELONG),06,538,CLASSE CE2 B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,01,590,CLASSE CM2A
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,02,590,CLASSE CPA
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,03,589,CLASSE CE1A
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,04,589,CLASSE CM2B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,05,589,CLASSE CE2 A
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,06,589,CLASSE CIA
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,07,589,CLASSE CIB
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,08,584,CLASSE CM 1 B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,09,579,CLASSE CP B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,10,590,CLASSE CE1 B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,11,523,CLASSE CE2 B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,12,499,PRESCOLAIRE SALLE DE CLASSE
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,01,597,CLASSE CI
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,02,594,CLASSE CIB
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,03,594,CLASSE CPA
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,04,596,CLASSE CM2A
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,05,596,CLASSE CM2B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,06,594,CLASSE CM1B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,07,596,CLASSE CE2A
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,08,596,CLASSE CPB
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,09,595,CLASSE CE1A
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,10,596,CLASSE CE1 B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,11,595,CLASSE CM1 A
RUFISQUE,RUFISQUE NORD,Lieu de vote,Bureau,Electeurs,
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,12,597,CLASSE CE2 B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,13,597,SALLE
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,14,594,SALLE
RUFISQUE,RUFISQUE NORD,ECOLE HLM CITE RADIO,01,556,SALLE 4
RUFISQUE,RUFISQUE NORD,ECOLE HLM CITE RADIO,02,559,SALLE 6
RUFISQUE,RUFISQUE NORD,ECOLE HLM CITE RADIO,03,557,SALLE 8
RUFISQUE,RUFISQUE NORD,ECOLE HLM CITE RADIO,04,558,SALLE 10
RUFISQUE,RUFISQUE NORD,ECOLE HLM CITE RADIO,05,557,SALLE 02
RUFISQUE,RUFISQUE NORD,ECOLE HLM CITE RADIO,06,568,SALLE 11
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),01,594,CLASSE CIA
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),02,592,CLASSE CIB
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),03,594,CLASSE CPA
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),04,595,CLASSE CE1A
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),05,595,CLASSE CE2B
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),06,593,CLASSE CE2A
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),07,594,CLASSE CM1A
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),08,595,CLASSE CM2B
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),09,593,CLASSE CM2A
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),10,593,CLASSE CPB
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),11,591,CE1B
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),12,595,CLASSE CM1 B
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),13,595,CE2 C
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),14,594,ABRI PROVISOIRE
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),15,594,ABRI PROVISOIRE
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,01,600,CI A
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,02,600,CI B
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,03,600,CP A
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,04,600,CP B
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,05,600,CE1 A
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,06,600,CE1 B
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,07,600,CE2 A
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,08,600,CE2 B
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,09,600,CM1 A
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,10,600,CM1 B
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,11,600,CM2 A
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,12,600,CM2 B
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,13,600,ABRI PROVISOIRE
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,14,600,ABRI PROVISOIRE
RUFISQUE,RUFISQUE NORD,Lieu de vote,Bureau,Electeurs,
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,15,169,ABRI PROVISOIRE
