DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,NDIAFFATE,BANDOULOU TOUCOULEUR,01,558,CLASSE CP
KAOLACK,NDIAFFATE,BANDOULOU TOUCOULEUR,02,145,CLASSE CE1
KAOLACK,NDIAFFATE,BANE SAMANE,01,586,CLASSE CM1
KAOLACK,NDIAFFATE,BANE SAMANE,02,37,CI
KAOLACK,NDIAFFATE,BILL BAMBARA,01,572,CLASSE CM1
KAOLACK,NDIAFFATE,BILL BAMBARA,02,79,CLASSE CM2
KAOLACK,NDIAFFATE,BOULDIABE BOUMACK,01,547,CLASSE CE 2
KAOLACK,NDIAFFATE,BOULDIABE BOUMACK,02,148,CLASSE CM1
KAOLACK,NDIAFFATE,DINGUIRAYE YOUSSOUPH,01,397,CLASSE CM 1
KAOLACK,NDIAFFATE,KEUR LASSANA,01,589,ABRI PROVISOIRE
KAOLACK,NDIAFFATE,KOSSI MBITEYENE,01,390,CLASSE CE 1
KAOLACK,NDIAFFATE,KOSSI MBITEYENE,02,390,CLASSE CM 2
KAOLACK,NDIAFFATE,KOUTAL,01,547,CLASSE CM 1A
KAOLACK,NDIAFFATE,KOUTAL,02,547,CLASSE CI A
KAOLACK,NDIAFFATE,KOUTAL,03,547,CLASSE CM 2A
KAOLACK,NDIAFFATE,KOUTAL,04,547,CLASSE CE 1A
KAOLACK,NDIAFFATE,KOUTAL SERERE,01,451,CLASSE CM1
KAOLACK,NDIAFFATE,MBITEYENE DAROU,01,473,CLASSE CM1
KAOLACK,NDIAFFATE,NDIAFFATE ESCALE,01,585,CLASSE CIA
KAOLACK,NDIAFFATE,NDIAFFATE ESCALE,02,585,CLASSE CPA
KAOLACK,NDIAFFATE,NDIAFFATE ESCALE,03,585,CLASSE CM1 B
KAOLACK,NDIAFFATE,NDIAFFATE SERERE,01,550,CLASSE CP
KAOLACK,NDIAFFATE,NDIAFFATE SERERE,02,545,CLASSE CE2
KAOLACK,NDIAFFATE,NDIAFFATE SERERE,03,221,CLASSE CM1
KAOLACK,NDIAFFATE,NDIATHIANG,01,401,CLASSE CE2
KAOLACK,NDIAFFATE,SANTHIE PASSY,01,383,ECOLE ARABE
KAOLACK,NDIAFFATE,TAWA MBOUDAYE,01,350,CLASSE CE2
KAOLACK,NDIAFFATE,TAWA MBOUDAYE,02,350,CLASSE CM1
KAOLACK,NDIAFFATE,THIAKHO THIOFFOR,01,417,CLASSE CE1 A
KAOLACK,NDIAFFATE,THIAKHO THIOFFOR,02,418,CLASSE CM1 B
KAOLACK,NDIAFFATE,THIOFFIOR,01,543,CLASSE CP
KAOLACK,NDIAFFATE,THIOFFIOR,02,544,CLASSE CE2
KAOLACK,NDIAFFATE,TOUBA SANOKHO,01,441,CLASSE CE2 A
KAOLACK,NDIAFFATE,VELOR SERERE,01,189,CLASSE CE1
KAOLACK,NDIAFFATE,VELOR SERERE,02,189,CLASSE CM1
