DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,SICAP LIBERTE,CENTRE SOCIAL LIBERTE 3 A,01,585,GRANDE SALLE 1
DAKAR,SICAP LIBERTE,CENTRE SOCIAL LIBERTE 3 A,02,588,GRANDE SALLE 2
DAKAR,SICAP LIBERTE,CENTRE SOCIAL LIBERTE 3 A,03,576,SALLE DE COUTURE
DAKAR,SICAP LIBERTE,CENTRE SOCIAL LIBERTE 3 A,04,533,SALLE
DAKAR,SICAP LIBERTE,CENTRE SOCIAL LIBERTE 3 A,05,442,ABRI PROVISOIRE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,01,600,CLASSE CP A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,02,600,CLASSE CP B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,03,600,CLASSE CP C
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,04,591,CLASSE CI B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,05,601,CLASSE CM2 C
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,06,600,CLASSE CM1 A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,07,600,CLASSE CM1 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,08,600,CLASSE CM1 C
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,09,600,CLASSE CE2 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,10,600,CLASSE CE1 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,11,600,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,12,598,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,13,588,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,14,598,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,15,295,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,01,593,CLASSE CI A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,02,593,CLASSE CI B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,03,593,CLASSE CPA
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,04,596,CLASSE CP B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,05,596,CLASSE CM1A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,06,597,CLASSE CM1 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,07,595,CLASSE CM2 A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,08,593,CLASSE CE1 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,09,595,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,10,596,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,11,595,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,12,594,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,01,576,CLASSE CM2 A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,02,573,CLASSE CM2 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,03,581,CLASSE CM1 A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,04,578,CLASSE CM1 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,05,573,CLASSE CP A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,06,577,CLASSE CP B
DAKAR,SICAP LIBERTE,Lieu de vote,Bureau,Electeurs,
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,07,572,CLASSE CI A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,08,572,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,09,277,CLASSE CI B
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,01,588,SALLE 1
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,02,588,SALLE 2
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,03,588,SALLE 3
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,04,588,SALLE 4
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,05,588,SALLE 5
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,06,587,SALLE 6
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,07,588,SALLE 07
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,08,588,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,09,588,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,10,588,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,11,588,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,12,588,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,13,588,SALLE
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,14,230,SALLE BASKET
