DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,HANN BEL AIR,CAMP ABDOU DIASSE,01,497,ECOLE ABDOU DIASSE BV1
DAKAR,HANN BEL AIR,CAMP ABDOU DIASSE,02,497,ECOLE ABDOU DIASSE BV2
DAKAR,HANN BEL AIR,CAMP ABDOU DIASSE,03,285,SALLE DE CLASSE
DAKAR,HANN BEL AIR,CEM DE HANN,01,585,SALLE 1
DAKAR,HANN BEL AIR,CEM DE HANN,02,590,SALLE 3
DAKAR,HANN BEL AIR,CEM DE HANN,03,584,SALLE 5
DAKAR,HANN BEL AIR,CEM DE HANN,04,585,SALLE 6
DAKAR,HANN BEL AIR,CEM DE HANN,05,587,SALLE 8
DAKAR,HANN BEL AIR,CEM DE HANN,06,590,SALLE 9
DAKAR,HANN BEL AIR,CEM DE HANN,07,588,SALLE 2
DAKAR,HANN BEL AIR,CEM DE HANN,08,591,SALLE DE CLASSE
DAKAR,HANN BEL AIR,CEM DE HANN,09,592,SALLE DE CLASE
DAKAR,HANN BEL AIR,CEM DE HANN,10,423,SALLE 10
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,01,592,SALLE LORCA
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,02,582,SALLE DE CAMOENS
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,03,589,SALLE CAMARA LAYE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,04,589,SALLE VICTOR HUGO
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,05,579,SALLE AIME CESAIRE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,06,584,SALLE WILLIAM SHAKES PEARE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,07,556,SALLE DE CLASSE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,08,561,SALLE DE CLASSE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,09,560,SALLE DE CLASSE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,10,561,SALLE DE CLASSE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,11,560,SALLE DE CLASSE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,12,561,SALLE DE CLASSE
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),01,551,CLASSE CIB COURS A
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),02,557,CLASSE CPA COURS A
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),03,553,CLASSE CPB  COURS A
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),04,559,CLASSE CE1 B COURS A
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),05,554,CLASSE CPB  COURS B
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),06,554,CLASSE CE2 A COURS B
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),07,545,CLASSE CM1A COURS B
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),08,564,SALLE DE CLASSE
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),09,225,SALLE DE CLASSE
DAKAR,HANN BEL AIR,ECOLE EH DOUDOU MBATHIE (HANN VILLA,01,587,CLASSE CM2 A
DAKAR,HANN BEL AIR,ECOLE EH DOUDOU MBATHIE (HANN VILLA,02,588,CLASSE CM1 A
