DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEUR MASSAR,KEUR MASSAR SUD,DAROU SALAM 2,01,218,CLASSE CI
KEUR MASSAR,KEUR MASSAR SUD,DAROU SALAM 2,02,214,CLASSE CP
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CAMILLE BASSE,01,582,CLASSE CE1 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CAMILLE BASSE,02,588,CLASSE CI A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CAMILLE BASSE,03,578,CLASSE CP
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CAMILLE BASSE,04,591,SALLE DE CLASSE
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CAMILLE BASSE,05,566,CLASSE CP B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,01,573,SALLE INFORMATIQUE
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,02,574,CLASSE CI A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,03,571,CLASSE CP A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,04,572,CLASSE CE1 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,05,573,CLASSE CE2 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,06,572,CLASSE CM1 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,07,572,CLASSE CI B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,08,574,CLASSE CP B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,09,574,CLASSE CE1 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,10,571,CLASSE CE2 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,11,574,CLASSE CM1 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,12,572,CLASSE CM2
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,13,574,ABRI PROVISOIRE
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,14,571,CEM AINOUMADY S1
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,15,575,CEM AINOUMADY S2
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,16,573,CEM AINOUMADY S3
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,17,571,CEM AINOUMADY S4
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,18,572,CEM AINOUMADY S5
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,19,571,CEM AINOUMADY S6
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,20,571,CEM AINOUMADY S7
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,21,572,CEM AINOUMADY S8
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,22,572,CEM AINOUMADY S9
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,23,574,LYCEE AINOUMADY S1
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,24,572,LYCEE AINOUMADY S2
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,25,570,LYCEE AINOUMADY S3
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,26,571,LYCEE AINOUMADY S4
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,27,570,LYCEE AINOUMADY S5
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,28,569,LYCEE AINOUMADY S6
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,01,540,CLASSE CE1 C
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,02,544,CLASSE CE1 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,03,543,CLASSE CE1 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,04,533,CLASSE CE2 C
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,05,549,CLASSE CM1 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,06,544,CLASSE CE2 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,07,541,CLASSE CE2 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,08,536,CLASSE CM2 C
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,09,541,CLASSE CM2 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,10,538,CLASSE CM2 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,11,540,CLASSE CM1 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,12,548,CLASSE CM1 C
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,13,540,CLASSE CI A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,14,545,CLASSE CI B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,15,539,CLASSE CI C
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,16,542,CLASSE CP A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,17,540,CLASSE CP B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,18,543,CLASSE CP C
KEUR MASSAR,KEUR MASSAR SUD,HAMDALAYE 2,01,122,CLASSE CI
