DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,01,572,SALLE 1
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,02,575,SALLE 2
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,03,575,SALLE 3
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,04,572,SALLE 4
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,05,570,SALLE 5
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,06,573,SALLE 6
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,07,571,SALLE 7
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,08,574,SALLE 8
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,09,573,SALLE 9
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,10,571,SALLE 10
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,11,571,SALLE 11
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,12,572,SALLE 12
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,13,575,SALLE 13
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,14,573,SALLE 14
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,15,572,SALLE 15
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,16,569,SALLE 16
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,17,572,SALLE 17
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,18,572,SALLE 18
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,19,571,SALLE 19
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,20,573,SALLE 20
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,21,573,SALLE 21
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,22,575,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,01,579,SALLE 1
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,02,578,SALLE 2
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,03,585,SALLE 3
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,04,583,SALLE 4
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,05,578,SALLE 5
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,06,579,SALLE 6
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,07,581,SALLE 7
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,08,580,SALLE 8
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,09,582,SALLE 9
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,10,580,SALLE 10
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,11,578,SALLE 11
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,12,582,SALLE 12
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,13,580,SALLE 13
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,14,581,SALLE 14
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,15,581,SALLE 15
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,16,582,SALLE 16
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,17,583,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL NORD,ECOLE BATAILLON DE LA MARINE,01,555,CLASSE CE1 A
KEUR MASSAR,YEUMBEUL NORD,ECOLE BATAILLON DE LA MARINE,02,556,CLASSE CE1 B
KEUR MASSAR,YEUMBEUL NORD,ECOLE BATAILLON DE LA MARINE,03,554,CLASSE CM1 A
KEUR MASSAR,YEUMBEUL NORD,ECOLE DAROU SALAM BENE BARAQUE,01,580,LYCEE DE YEUMBEUL SALLE 1
KEUR MASSAR,YEUMBEUL NORD,ECOLE DAROU SALAM BENE BARAQUE,02,581,LYCEE DE YEUMBEUL SALLE 2
KEUR MASSAR,YEUMBEUL NORD,ECOLE DAROU SALAM BENE BARAQUE,03,581,LYCEE DE YEUMBEUL SALLE 3
KEUR MASSAR,YEUMBEUL NORD,ECOLE DAROU SALAM BENE BARAQUE,04,579,LYCEE DE YEUMBEUL SALLE 4
KEUR MASSAR,YEUMBEUL NORD,ECOLE DAROU SALAM BENE BARAQUE,05,582,LYCEE DE YEUMBEUL SALLE 5
KEUR MASSAR,YEUMBEUL NORD,ECOLE DAROU SALAM BENE BARAQUE,06,591,LYCEE DE YEUMBEUL SALLE 6
KEUR MASSAR,YEUMBEUL NORD,ECOLE DAROU SALAM BENE BARAQUE,07,573,LYCEE DE YEUMBEUL SALLE 7
KEUR MASSAR,YEUMBEUL NORD,ECOLE DAROU SALAM BENE BARAQUE,08,585,LYCEE DE YEUMBEUL SALLE 8
KEUR MASSAR,YEUMBEUL NORD,ECOLE DAROU SALAM BENE BARAQUE,09,581,LYCEE DE YEUMBEUL SALLE 9
KEUR MASSAR,YEUMBEUL NORD,ECOLE DAROU SALAM BENE BARAQUE,10,584,LYCEE DE YEUMBEUL SALLE 10
